"External ID","Display Name","Section Name","Action/ID","Code","Domain","Financial Report/ID","Formulas","Group by","Hide If Zero","Is growth good when positive","Parent/ID","Print On New Page","Sequence","Show Domain","Special Date Changer","Type","Level"
"__export__.account_financial_html_report_line_119_d21d2174","PYSYVÄT VASTAAVAT","PYSYVÄT VASTAAVAT","","BAP","","__export__.account_financial_html_report_6_d8bdec57","balance = BAA1.balance + BAA2.balance + BAS.balance","","False","True","","False","0","Foldable","Use given dates","Float","1"
"__export__.account_financial_html_report_line_173_f8023b1a","Pitkäaikaiset","Pitkäaikaiset","","BASP","","","balance = BASPM.balance + BASPK.balance + BASPY.balance + BASPD.balance + BSPL.balance + BASPU.balance+ BASMO.balance + BSPS.balance","","False","True","__export__.account_financial_html_report_line_132_00212682","False","0","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_128_719fd5e2","Aineettomat hyödykkeet","Aineettomat hyödykkeet","","BAA1","","","balance = BAKEH.balance + BAIPR.balance + BAGW.balance + BAMPM.balance + BAA1E.balance","","False","True","__export__.account_financial_html_report_line_119_d21d2174","False","0","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_158_36f5053d","Omistetut","Omistetut","","MAAO","[('account_id.user_type_id', '=', 24)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_153_8e660e3c","False","0","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_212_cf4f4e55","Pääomalainat","Pääomalainat","","BPVLP","[('account_id.user_type_id', '=', 92)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_147_8d7465f3","False","0","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_131_afca02c8","Vaihto-omaisuus","Vaihto-omaisuus","","BAVO","","","balance = BAVOA.balance + BAVOK.balance + BAVOV.balance + BAVOM.balance + BAVOE.balance","account_id","False","True","__export__.account_financial_html_report_line_120_566144b2","False","0","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_135_f6145355","Osake-, osuus- tai muu vastaava pääoma","Osake-, osuus- tai muu vastaava pääoma","","BPOS","[('account_id.user_type_id', '=', 64)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_123_b4507ebc","False","0","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_141_efa9ceb4","Poistoero","Poistoero","","BPSP","[('account_id.user_type_id', '=', 74)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_124_8283c509","False","0","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_143_49034f71","Eläkevaraukset","Eläkevaraukset","","BPPE","[('account_id.user_type_id', '=', 76)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_125_46036b84","False","0","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_146_bbc35a9c","Pitkäaikainen","Pitkäaikainen","","BPVP","","","balance = BPVPP.balance + BPVPJ.balance + BPVPV.balance + BPVPL.balance + BPVPT.balance + BPVPE.balance+ BPVPO.balance + BPVPX.balance + BPVPK.balance + BPVPY.balance + BPVPD.balance+ BPVPM.balance + BPVPS.balance","","False","True","__export__.account_financial_html_report_line_126_5e6dec6d","False","0","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_148_49819aac","Kehittämismenot","Kehittämismenot","","BAKEH","[('account_id.user_type_id', '=', 19)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_128_719fd5e2","False","0","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_153_8e660e3c","Maa- ja vesialueet","Maa- ja vesialueet","","BAMA","","","balance = MAAO.balance + MAAV.balance","","False","True","__export__.account_financial_html_report_line_129_5893a919","False","0","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_159_8819f109","Vuokraoikeudet","Vuokraoikeudet","","MAAV","[('account_id.user_type_id', '=', 25)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_153_8e660e3c","False","0","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_160_3ab8c67b","Omistetut","Omistetut","","BRRO","[('account_id.user_type_id', '=', 26)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_154_7b21be0d","False","0","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_175_c916f078","Myyntisaamiset","Myyntisaamiset","","BASPM","[('account_id.user_type_id', '=', 42)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_173_f8023b1a","False","0","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_183_3c44cc7f","Myyntisaamiset","Myyntisaamiset","","BASLM","[('account_id.user_type_id', 'in', [1,50])]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_174_8fd8bcc6","False","0","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_191_7f4495b8","Osuudet saman konsernin yrityksissä","Osuudet saman konsernin yrityksissä","","BARK","[('account_id.user_type_id', '=', 60)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_133_154df95f","False","0","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_161_3e1b9b9e","Vuokraoikeudet","Vuokraoikeudet","","BRRV","[('account_id.user_type_id', '=', 27)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_154_7b21be0d","False","0","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_194_0d53d5d7","Sijoitetun vapaan oman pääoman rahasto","Sijoitetun vapaan oman pääoman rahasto","","SVOP","[('account_id.user_type_id', '=', 67)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_138_d3c5aa8a","False","0","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_162_86ce5193","Osuudet saman konsernin yrityksissä","Osuudet saman konsernin yrityksissä","","BAOK","[('account_id.user_type_id', '=', 31)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_130_2d9a56aa","False","0","Foldable","Use given dates","Float","3"
