"External ID","Display Name","Section Name","Action/ID","Code","Domain","Financial Report/ID","Formulas","Group by","Hide If Zero","Is growth good when positive","Parent/ID","Print On New Page","Sequence","Show Domain","Special Date Changer","Type","Level"
"__export__.account_financial_html_report_line_113_b3e1a7bf","Saman konsernin yrityksiltä","Saman konsernin yrityksiltä","","RTPK","[('account_id.user_type_id', '=', 140)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_99_f0872ac8","False","0","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_109_0f284d40","Ostot tilikauden aikana","Ostot tilikauden aikana","","ROS","[('account_id.user_type_id', 'in', [112,113])]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_90_51de6d29","False","0","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_107_c07d6dbf","Tilikauden verot","Tilikauden verot","","RTKV","[('account_id.user_type_id', '=', 150)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_87_7cbe7d06","False","0","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_104_c8776276","Poistoeron muutos","Poistoeron muutos","","RPEM","[('account_id.user_type_id', '=', 147)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_86_84362c69","False","0","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_97_25ffb23c","Tuotot osuuksista saman konsernin yrityksissä","Tuotot osuuksista saman konsernin yrityksissä","","RTOK","[('account_id.user_type_id', '=', 138)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_84_9d5da82e","False","0","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_94_76e3e69a","Suunnitelman mukaiset poistot","Suunnitelman mukaiset poistot","","RSMP","[('account_id.user_type_id', '=', 122)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_81_8260857e","False","0","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_75_ac1956e7","LIIKEVAIHTO","LIIKEVAIHTO","","RLV","[('account_id.user_type_id', 'in', [107,108])]","__export__.account_financial_html_report_5_2934059c","balance = -sum.balance","account_id","False","True","","False","0","Foldable","Use given dates","Float","1"
"__export__.account_financial_html_report_line_111_b6a23244","Eläkekulut","Eläkekulut","","RHEK","[('account_id.user_type_id', 'in', [118,119])]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_93_751fec29","False","0","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_90_51de6d29","Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat","","RATT","","","balance = ROS.balance + RVM.balance","","False","True","__export__.account_financial_html_report_line_79_19ff36eb","False","0","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_117_df30d265","Saman konsernin yrityksille","Saman konsernin yrityksille","","RKKK","[('account_id.user_type_id', '=', 145)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_103_a518a753","False","0","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_92_8c49dc1f","Palkat ja palkkiot","Palkat ja palkkiot","","RHPP","[('account_id.user_type_id', 'in', [116,117])]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_80_70429b9c","False","0","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_115_6c2985b3","Saman konsernin yrityksiltä","Saman konsernin yrityksiltä","","RTKK","[('account_id.user_type_id', '=', 142)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_100_05c70876","False","0","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_108_e5024b9a","Laskennalliset verot","Laskennalliset verot","","RLAV","[('account_id.user_type_id', '=', 151)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_87_7cbe7d06","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_118_f18991b6","Muille","Muille","","RKKM","[('account_id.user_type_id', '=', 146)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_103_a518a753","False","1","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_116_14dc483b","Muilta","Muilta","","RTKM","[('account_id.user_type_id', '=', 143)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_100_05c70876","False","1","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_114_e6cab8a1","Muilta","Muilta","","RTPM","[('account_id.user_type_id', '=', 141)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_99_f0872ac8","False","1","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_112_c631acfd","Muut henkilösivukulut","Muut henkilösivukulut","","RHMK","[('account_id.user_type_id', 'in', [121])]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_93_751fec29","False","1","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_95_48ab99b4","Arvonalentumiset pysyvien vastaavien hyödykkeistä","Arvonalentumiset pysyvien vastaavien hyödykkeistä","","RAPV","[('account_id.user_type_id', '=', 123)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_81_8260857e","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_98_a7eda02d","Tuotot osuuksista omistusyhteysyrityksissä","Tuotot osuuksista omistusyhteysyrityksissä","","RTOY","[('account_id.user_type_id', '=', 139)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_84_9d5da82e","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_105_50f0f0c3","Verotusperusteisten varausten muutos","Verotusperusteisten varausten muutos","","RVEM","[('account_id.user_type_id', '=', 148)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_86_84362c69","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_110_eb0ffb08","Varastojen muutos","Varastojen muutos","","RVM","[('account_id.user_type_id', '=', 114)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_90_51de6d29","True","1","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_76_7f75f1f9","Valmiiden ja keskeneräisten tuotteiden varastojen muutos","Valmiiden ja keskeneräisten tuotteiden varastojen muutos","","RVVM","[('account_id.user_type_id', '=', 109)]","__export__.account_financial_html_report_5_2934059c","balance = -sum.balance","account_id","False","True","","False","1","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_91_c6fc8abd","Ulkopuoliset palvelut","Ulkopuoliset palvelut","","RUP","[('account_id.user_type_id', '=', 115)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_79_19ff36eb","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_93_751fec29","Henkilösivukulut","Henkilösivukulut","","RHSK","","","balance = RHEK.balance + RHMK.balance","","False","True","__export__.account_financial_html_report_line_80_70429b9c","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_77_37f7e1f5","Valmistus omaan käyttöön","Valmistus omaan käyttöön","","RVOK","[('account_id.user_type_id', '=', 110)]","__export__.account_financial_html_report_5_2934059c","balance = -sum.balance","account_id","False","True","","False","2","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_96_cc416a6e","Vaihtuvien vastaavien arvonalentumiset","Vaihtuvien vastaavien arvonalentumiset","","RAVV","[('account_id.user_type_id', '=', 124)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_81_8260857e","False","2","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_99_f0872ac8","Tuotot muista pysyvien vastaavien sijoituksista","Tuotot muista pysyvien vastaavien sijoituksista","","RTPV","","","balance = RTPK.balance + RTPM.balance","","False","True","__export__.account_financial_html_report_line_84_9d5da82e","False","2","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_106_8ef4b0e2","Konserniavustus","Konserniavustus","","RKA","[('account_id.user_type_id', '=', 149)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_86_84362c69","False","2","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_78_7631d7d8","Liiketoiminnan muut tuotot","Liiketoiminnan muut tuotot","","RLMT","[('account_id.user_type_id', '=', 111)]","__export__.account_financial_html_report_5_2934059c","balance = -sum.balance","account_id","False","True","","False","3","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_100_05c70876","Muut korko- ja rahoitustuotot","Muut korko- ja rahoitustuotot","","RTKO","","","balance = RTKK.balance + RTKM.balance","","False","True","__export__.account_financial_html_report_line_84_9d5da82e","False","3","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_79_19ff36eb","Materiaalit ja palvelut","Materiaalit ja palvelut","","RMP","","__export__.account_financial_html_report_5_2934059c","balance = RATT.balance + RUP.balance","","False","True","","False","4","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_101_b16b9bd3","Arvonalentumiset pysyvien vastaavien sijoituksista","Arvonalentumiset pysyvien vastaavien sijoituksista","","RASI","[('account_id.user_type_id', '=', 144)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_84_9d5da82e","False","4","Foldable","Use given dates","Float","3"
