"External ID","Display Name","Section Name","Action/ID","Code","Domain","Financial Report/ID","Formulas","Group by","Hide If Zero","Is growth good when positive","Parent/ID","Print On New Page","Sequence","Show Domain","Special Date Changer","Type","Level"
"__export__.account_financial_html_report_line_225_23043db3","Vero kotimaan myynneistä verokannoittain","Vero kotimaan myynneistä verokannoittain","","","","__export__.account_financial_html_report_7_35515a62","","","False","True","","False","0","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_226_41acc6a8","24%:n vero","24%:n vero","","ALVM24","[('tax_line_id.tag_ids','=',4)]","__export__.account_financial_html_report_7_35515a62","balance = -sum.balance","move_id","False","True","","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_228_babffecc","14%:n vero","14%:n vero","","ALVM14","[('tax_line_id.tag_ids','=',5)]","__export__.account_financial_html_report_7_35515a62","balance = -sum.balance","move_id","False","True","","False","2","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_229_9799b059","10%:n vero","10%:n vero","","ALVM10","[('tax_line_id.tag_ids','=',6)]","__export__.account_financial_html_report_7_35515a62","balance = -sum.balance","move_id","False","True","","False","3","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_230_6b95ad54","Vero tavaraostoista muista EU-maista","Vero tavaraostoista muista EU-maista","","ALVOTEU","[('tax_line_id.tag_ids','=',7)]","__export__.account_financial_html_report_7_35515a62","balance = -sum.balance","move_id","False","True","","False","4","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_231_e76c3165","Vero palveluostoista muista EU-maista","Vero palveluostoista muista EU-maista","","ALVOPEU","[('tax_line_id.tag_ids','=',8)]","__export__.account_financial_html_report_7_35515a62","balance = -sum.balance","move_id","False","True","","False","5","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_232_faaddefa","Vero tavaroiden maahantuonneista EU:n ulkopuolelta","Vero tavaroiden maahantuonneista EU:n ulkopuolelta","","ALVOTEX","[('tax_line_id.tag_ids','=',17)]","__export__.account_financial_html_report_7_35515a62","balance = -sum.balance","move_id","False","True","","False","6","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_233_ec7749dd","Vero rakentamispalvelun ja metalliromun ostoista (käännetty verovelvollisuus)","Vero rakentamispalvelun ja metalliromun ostoista (käännetty verovelvollisuus)","","ALVOPRM","[('tax_line_id.tag_ids','=',10)]","__export__.account_financial_html_report_7_35515a62","balance = -sum.balance","move_id","False","True","","False","7","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_234_54b5742a","Verokauden vähennettävä vero","Verokauden vähennettävä vero","","ALVVAH","[('tax_line_id.tag_ids','=',9)]","__export__.account_financial_html_report_7_35515a62","balance = sum.balance","move_id","False","True","","False","8","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_235_15cdb95a","Maksettava vero / Palautukseen oikeuttava vero (-)","Maksettava vero / Palautukseen oikeuttava vero (-)","","TOPAY","","__export__.account_financial_html_report_7_35515a62","balance = ALVM24.balance + ALVM14.balance + ALVM10.balance + ALVOTEU.balance + ALVOPEU.balance + ALVOTEX.balance + ALVOPRM.balance - ALVVAH.balance","","False","True","","False","9","Foldable","Use given dates","Float","0"
"__export__.account_financial_html_report_line_236_99bf81a1","False","","","BLANK","","__export__.account_financial_html_report_7_35515a62","","","False","True","","False","10","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_237_1f42a4fd","0-verokannan alainen liikevaihto","0-verokannan alainen liikevaihto","","AM0","[('tax_ids','in',[41, 74, 80])]","__export__.account_financial_html_report_7_35515a62","balance = -sum.balance","move_id","False","True","","False","11","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_238_93016a23","Tavaroiden myynnit muihin EU-maihin","Tavaroiden myynnit muihin EU-maihin","","AMTEU","[('tax_ids','in',[54])]","__export__.account_financial_html_report_7_35515a62","balance = -sum.balance","move_id","False","True","","False","12","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_239_f2e4135e","Palvelujen myynnit muihin EU-maihin","Palvelujen myynnit muihin EU-maihin","","AMPEU","[('tax_ids','in',[63])]","__export__.account_financial_html_report_7_35515a62","balance = -sum.balance","move_id","False","True","","False","13","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_245_45389990","Palveluostot muista EU-maista","Palveluostot muista EU-maista","","AOPEU","[('tax_ids','in',[42,49,53])]","__export__.account_financial_html_report_7_35515a62","balance = sum.balance","move_id","False","True","","False","15","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_242_39af7633","Tavaroiden maahantuonnit EU: ulkopuolelta","Tavaroiden maahantuonnit EU: ulkopuolelta","","AOTEX","[('tax_ids','in',[81])]","__export__.account_financial_html_report_7_35515a62","balance = sum.balance","move_id","False","True","","False","16","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_243_b343d5d7","Rakentamispalvelun ja metalliromun ostot (käännetty verovelvollisuus)","Rakentamispalvelun ja metalliromun ostot (käännetty verovelvollisuus)","","AOPRM","[('tax_ids','in',[57])]","__export__.account_financial_html_report_7_35515a62","balance = sum.balance","move_id","False","True","","False","17","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_244_d73ec58b","Rakentamispalvelun ja metalliromun myynnit (käännetty verovelvollisuus)","Rakentamispalvelun ja metalliromun myynnit (käännetty verovelvollisuus)","","AMPRM","[('tax_ids','in',[58])]","__export__.account_financial_html_report_7_35515a62","balance = -sum.balance","move_id","False","True","","False","18","Foldable","Use given dates","Float","2"
